date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:01:05	134/134	---MCZ	200	added ('OK')	text/plain	etag:%227-1754064820;gz%22	https://www.myrepublicpromo.com/robots.txt		(from )
11:01:05	122435/122435	---MCZ	200	added ('OK')	text/html	etag:%224-1754064534;gz%22	https://www.myrepublicpromo.com/	/Users/benbeckman/Documents/ISPclone/index-2.html	(from )
11:01:05	116345/116345	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2008:45:38%20GMT	https://www.myrepublicpromo.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	/Users/benbeckman/Documents/ISPclone/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://www.myrepublicpromo.com/)
11:01:06	2252/2252	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2009:45:17%20GMT	https://www.myrepublicpromo.com/wp-content/themes/page-builder-framework/css/min/iconfont-min.css?ver=2.10	/Users/benbeckman/Documents/ISPclone/wp-content/themes/page-builder-framework/css/min/iconfont-min0087.css	(from https://www.myrepublicpromo.com/)
11:01:07	35542/35542	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2009:45:19%20GMT	https://www.myrepublicpromo.com/wp-content/themes/page-builder-framework/style.css?ver=2.10	/Users/benbeckman/Documents/ISPclone/wp-content/themes/page-builder-framework/style0087.css	(from https://www.myrepublicpromo.com/)
11:01:08	10060/10060	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2009:45:17%20GMT	https://www.myrepublicpromo.com/wp-content/themes/page-builder-framework/css/min/responsive-min.css?ver=2.10	/Users/benbeckman/Documents/ISPclone/wp-content/themes/page-builder-framework/css/min/responsive-min0087.css	(from https://www.myrepublicpromo.com/)
11:01:09	11385/11385	---MCZ	200	added ('OK')	application/rss+xml	etag:%22c5726a8ab69ec415563e8b5795d8b5ae%22	https://www.myrepublicpromo.com/feed/	/Users/benbeckman/Documents/ISPclone/feed/index.html	(from https://www.myrepublicpromo.com/)
11:01:09	16636/16636	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2009:40:13%20GMT	https://www.myrepublicpromo.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	/Users/benbeckman/Documents/ISPclone/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from https://www.myrepublicpromo.com/)
11:01:10	18468/18468	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2009:40:12%20GMT	https://www.myrepublicpromo.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.13	/Users/benbeckman/Documents/ISPclone/wp-content/plugins/elementor/assets/lib/animations/animations.min2a45.css	(from https://www.myrepublicpromo.com/)
11:01:11	3855/3855	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2009:40:09%20GMT	https://www.myrepublicpromo.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.13	/Users/benbeckman/Documents/ISPclone/wp-content/plugins/elementor/assets/css/frontend-legacy.min2a45.css	(from https://www.myrepublicpromo.com/)
